
Search terms report,,,,,,,,,,,
All time,,,,,,,,,,,
Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Conversions,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %
urgent care bush and hyde sf,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,7.75,7.75,100.00%,100.00%
urgent care golden gate,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,7.45,14.9,40.00%,100.00%
urgent care near 415 buchanan street san francisco ca,Broad match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,5.35,10.7,0.00%,100.00%
urgent carr opportunities denver,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,15.85,15.85,100.00%,100.00%
urgent care mikeaukee wisc,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,19.12,19.12,100.00%,100.00%
urgent care free clinic,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,4.48,4.48,0.00%,100.00%
urgent care sutter antioch,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.92,9.92,0.00%,100.00%
urgent care book appointment,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,7.31,7.31,0.00%,0.00%
urgeny care nrae me,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,9.77,9.77,100.00%,100.00%
west hill urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10,10,100.00%,100.00%
valleycare urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,8.14,8.14,100.00%,100.00%
affordable urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,4,1,USD,11.29,45.16,100.00%,100.00%
direct urgent care cardiogram,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,7.52,15.04,100.00%,100.00%
urgent care or emergency,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,10.48,20.96,100.00%,100.00%
uc urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,11.68,11.68,100.00%,100.00%
sutter urgent care wait times,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.32,10.32,100.00%,100.00%
sutter urgent care in sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.38,10.38,100.00%,100.00%
urgent care near y open,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,7.7,7.7,100.00%,100.00%
urgent care stomach ulcer,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,14.89,14.89,100.00%,100.00%
urgent care serramonte st,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,16.68,16.68,100.00%,100.00%
urgent care sports medicine,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,13.02,13.02,100.00%,100.00%
urgent care nyc,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,2,0,USD,12.04,24.08,100.00%,100.00%
california pacific medical center urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,19.42,19.42,100.00%,100.00%
urgent care closest to me,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.73,6.73,50.00%,100.00%
urgent care facility,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,10.08,10.08,100.00%,100.00%
urgent care biopsy san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.99,12.99,100.00%,100.00%
urgent care on golden gate and market,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,8.31,8.31,100.00%,100.00%
urgent care centers in berkeley ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,1.51,1.51,0.00%,50.00%
urgent care near my location,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,2,0,USD,13.61,27.22,100.00%,100.00%
urgent care near 50 3rd street san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,19.37,19.37,100.00%,100.00%
urgent care close by,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,5.56,5.56,100.00%,100.00%
urgent care on telegraph ave,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,6.2,6.2,100.00%,100.00%
does concentea urgent care take medical,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,12.3,12.3,100.00%,100.00%
urgent care cost cigna open access plus,Phrase match,None,Non-Brand - Urgent Care - SF - Broad - Mobile,Urgent Care,1,0,USD,11.48,11.48,100.00%,100.00%
should i see an ophthalmologist at urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,19.82,19.82,100.00%,100.00%
pediatric urgent care mission san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Mobile,Urgent Care,1,0,USD,18.21,18.21,100.00%,100.00%
mountain view urgent care inc in california,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,6.32,6.32, --, --
urgent care doctors note,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,11.33,11.33,100.00%,100.00%
urgent care,Exact match,Added,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,116,4.24,USD,16.56,1921.07,84.86%,99.19%
west bay urgent care physicians,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.61,25.61,100.00%,100.00%
urgent care 94040,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,4,0,USD,13.29,53.14,100.00%,100.00%
apollo urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,28.4,28.4,100.00%,100.00%
urgent kids care,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Care Center,1,0,USD,13.7,13.7, --, --
aetna ppo urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,19.36,19.36,100.00%,100.00%
medi cal urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,18.06,18.06,100.00%,100.00%
urgent care emotional testimonials from members,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,18.12,18.12,100.00%,100.00%
diarrhea urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,1,USD,17.98,17.98,100.00%,100.00%
palo alto urgent care center,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,24.58,24.58,100.00%,100.00%
urgent care san francisco pep,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,18.43,18.43,100.00%,100.00%
blue shield pay for urgent care,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Blue Shield of California,1,0,USD,7.51,7.51,100.00%,100.00%
diving doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,2,0,USD,9.18,18.36,100.00%,100.00%
urgent care splinter removal,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,26.31,26.31,100.00%,100.00%
urgent care anthem,Exact match,Added,Non-Brand - Urgent Care - SF - PMM,Anthem,4,1,USD,11.07,44.28,100.00%,100.00%
urgent care app,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,8.74,8.74,100.00%,100.00%
drs near me,Exact match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,18.79,18.79,100.00%,100.00%
urgent care san francisco near 201 3rd st,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0.75,USD,21.77,43.54,100.00%,100.00%
immediate urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.91,14.91,100.00%,100.00%
walk in clinic 94105 urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,8.14,8.14,100.00%,100.00%
add doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,12.45,12.45,0.00%,100.00%
urgent care van,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.27,14.27,100.00%,100.00%
dot physical examination san francisco,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Care Center,1,0,USD,6.59,6.59,100.00%,100.00%
mill valley doctors offices,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.32,4.32,100.00%,100.00%
golden gate urgent care open today,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.48,25.48,100.00%,100.00%
general physicians near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,13.85,13.85, --, --
urgent care near,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,28.32,28.32,100.00%,100.00%
golden gate urgen care,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.32,25.32,100.00%,100.00%
urgent care ownership and staffing,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,35.26,35.26,100.00%,100.00%
is direct urgent care certified by samsha,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,16.74,16.74,100.00%,100.00%
urgent care near 3700 n wilke road,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,9.88,9.88,0.00%,0.00%
sutter urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,1,USD,27.2,27.2,100.00%,100.00%
urgent care sutter street,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,18.13,18.13,100.00%,100.00%
urgant care,Exact match (close variant),None,Non-Brand - Urgent Care - CU - Exact - Mobile,Urgent Care,1,0,USD,18.81,18.81, --, --
doctors clinic near me,Broad match,Added,Non-Brand - Doctors - SF - Mobile,Doctors,1,1,USD,18.71,18.71,100.00%,100.00%
allergy doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,3.82,3.82, --, --
urgent care duboce park,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,12.92,25.84,100.00%,100.00%
shops of urgent care,Phrase match,Excluded,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,5.4,5.4, --, --
golden gate urgent care mountain view,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,20,20,100.00%,100.00%
urgent care in sf that takes medical,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,8.14,8.14,100.00%,100.00%
urgent cara for mouth issues,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - PMM,Care For,1,0,USD,17.81,17.81,100.00%,100.00%
urgent care near 101 california st san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,2.76,2.76,100.00%,100.00%
sjogren's doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.2,4.2, --, --
doctor near me,Exact match,Added,Non-Brand - Doctors - SF - Mobile,Doctors,55,1,USD,8.48,466.42,85.13%,99.68%
115 el camino real 94040 urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,0.31,0.31, --, --
chicken pox doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.52,2.52,100.00%,100.00%
urgent care south san francisco california,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,9.28,9.28,100.00%,100.00%
north highland urgent care,Phrase match,Excluded,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,25.62,25.62,100.00%,100.00%
170 columbus 94133,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Care Center,1,0,USD,19.88,19.88,100.00%,100.00%
urgent care lab test,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.79,7.79, --, --
ummc urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,15.14,15.14,100.00%,100.00%
dr hipps office san francisco,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,9.4,9.4,100.00%,100.00%
herpes doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.15,2.15,100.00%,100.00%
urgent care for dr edwards patients,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.1,27.1,100.00%,100.00%
medexpress urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,21.93,21.93,100.00%,100.00%
searching job in urgent care as rn,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.4,13.4,50.00%,100.00%
carbon health urgent care doctors note,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,21.24,21.24,100.00%,100.00%
el camino urgent care sunnyvale,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,3,2,USD,25.6,76.79,100.00%,100.00%
urgent care centers which accepts first health network,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.87,27.87,100.00%,100.00%
390 north first street urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.7,27.7,100.00%,100.00%
urgent care near stanford,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,3,0,USD,5.59,16.78,100.00%,100.00%
roseville urgent cares,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,23.33,23.33,100.00%,100.00%
doctors offices at main island,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,7.87,7.87,100.00%,100.00%
dignity urgent care san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,16.48,16.48,100.00%,100.00%
direct urgent care mountain view,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,13,2,USD,9.81,127.49,100.00%,100.00%
urgent care excelsior,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,6.95,6.95, --, --
closest urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.84,27.84,100.00%,100.00%
blue shield brown and toland urgent care,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Brown & Toland,1,0,USD,7.04,7.04,100.00%,100.00%
direct urgent care mountain view how much is a visit,Phrase match,None,Branded - DUC - MV,Direct Urgent Care,1,0,USD,6.71,6.71,100.00%,100.00%
drs office near leavenworth san francisco,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,10.07,10.07,100.00%,100.00%
urgent care 94538,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,20.07,20.07, --, --
evergreenhealth urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,14.03,14.03,100.00%,100.00%
medical doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,7.75,23.25,100.00%,100.00%
best functional medicine doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,3.61,3.61,0.00%,100.00%
https carbonhealth com urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,5.7,5.7,100.00%,100.00%
san francisco doctor office,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,23.24,23.24,100.00%,100.00%
urgent care for concussion,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,1,USD,10.95,10.95,100.00%,100.00%
cpmc urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,4,0,USD,19.03,76.13,91.67%,98.33%
urgent care in mountain view,Exact match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,4,0,USD,2.9,11.6,100.00%,100.00%
sunnyvale kids immediate care,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.72,27.72, --, --
cigna urgent care,Exact match,Added,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,11.26,11.26,100.00%,100.00%
outta pocket dr office near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,1.89,1.89,100.00%,100.00%
urgent care near rossmore ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,35.88,35.88,100.00%,100.00%
chronic pain mgmt doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,16.9,16.9,100.00%,100.00%
aetna doctors near me,Phrase match (close variant),Added,Non-Brand - Doctors - SF - Mobile,Doctors,1,0.43,USD,14.78,14.78,100.00%,100.00%
urgent care nob hill san francisco,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.07,13.07, --, --
doctors near me,Exact match,Added / Excluded,Non-Brand - Doctors - SF - Mobile,Doctors,38,0.86,USD,8.8,334.5,93.54%,100.00%
direct urgent care vallco,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,20.49,20.49,100.00%,100.00%
urgent care castro,Exact match,Added,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,27.74,27.74,50.00%,75.00%
direct urgent care montain vew,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,4.03,4.03,100.00%,100.00%
urgent care mountain view timing,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,22.1,22.1,100.00%,100.00%
sjmg urgen care,Phrase match (close variant),None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,29.58,29.58,100.00%,100.00%
nearest urgent care to stanford university,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,0.29,0.29,100.00%,100.00%
urgent care 94040,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0.25,USD,27.84,27.84,100.00%,100.00%
hills physicians urger care clinics,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.58,25.58,100.00%,100.00%
urgent care 761 el camino real on line appt,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,24.64,24.64,100.00%,100.00%
dr david segars office on ocean san francisco,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,10.34,10.34,100.00%,100.00%
applcare urgent care logo,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,26.08,26.08,100.00%,100.00%
carbon health urgent care sf,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,1,USD,5.43,10.86,100.00%,100.00%
phaiser urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,23.08,23.08,0.00%,100.00%
intestinal doctors near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.15,2.15, --, --
sutter urgent care mountain view,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,24.68,24.68,100.00%,100.00%
urgent care stanford,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,3,0,USD,27.53,82.6,77.27%,100.00%
urgent care centers san francisco,Exact match (close variant),None,Non-Brand - Urgent Care - SF - Exact - Computers,Urgent Care,1,0,USD,6.77,6.77,100.00%,100.00%
urgent care 20635 kuykendahl rd,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,26.56,26.56,100.00%,100.00%
washington urgent care carrer,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,22.85,22.85,100.00%,100.00%
urgent care medical abortions,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,4.42,4.42,100.00%,100.00%
urgent care market st billing,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,28.35,28.35,100.00%,100.00%
urgent care medicare,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,10.36,10.36,100.00%,100.00%
urgent care doctor opportunities,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,24.19,24.19,100.00%,100.00%
urgent care heart near me,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.38,27.38,100.00%,100.00%
urgent care kaiswer,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.51,10.51,100.00%,100.00%
direct urgent care inc 1150 w el camino real mountain view ca 94040 650 695 5008,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,27.69,27.69,100.00%,100.00%
karbon urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,13.54,13.54,100.00%,100.00%
united hmo urgent care clinics,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,18.18,36.36,100.00%,100.00%
urgent care that takes medical near me,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,10.39,10.39,100.00%,100.00%
doctors accepting medi cal near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,3.31,3.31,100.00%,100.00%
clinical services at urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,21.93,21.93,100.00%,100.00%
urgent care near 94305,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,2,0,USD,0.29,0.57, --, --
hospital urgent care,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,2.58,2.58,100.00%,100.00%
mountainview urgent care,Broad match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,25.7,25.7,100.00%,100.00%
urgent care in san francisco mission district,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,2.84,2.84, --, --
urgent care on valencia street,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Care Center,1,0,USD,25.92,25.92,100.00%,100.00%
direct urgent care alameda,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.86,7.86,100.00%,100.00%
urgent care near 100 montgoert st,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,24.64,24.64,100.00%,100.00%
doctor near mw,Exact match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,4.72,4.72,100.00%,100.00%
direct urgent care telegraph avenue berkeley ca,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,2,0,USD,8.33,16.65,100.00%,100.00%
ob gyn doctors near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,3.14,3.14,0.00%,100.00%
urgent care centers zip code 94102,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,23.14,23.14,100.00%,100.00%
golden gate urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,26,3,USD,15.47,402.1,20.11%,99.42%
zsfgh urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,13.99,13.99,100.00%,100.00%
nearest urgent care to 1575 grant road los altos,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,2,0,USD,3.36,6.72, --, --
medical cannabis doctor near me,Phrase match,None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,2.72,2.72,100.00%,100.00%
cpmc urgent care,Broad match,None,Non-Brand - Urgent Care - SF - PMM,Care Center,1,0,USD,26,26,100.00%,100.00%
what is united health care ppo urgent care in zip code 94121,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,25.19,25.19,100.00%,100.00%
cheap doctor near me,Phrase match (close variant),None,Non-Brand - Doctors - SF - Mobile,Doctors,1,0,USD,3.26,3.26,100.00%,100.00%
urget care clinic,Phrase match (close variant),None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,6.63,6.63,100.00%,100.00%
doctor's office near me,Broad match,None,Non-Brand - Doctors - SF - Mobile,Doctors,3,0,USD,2.73,8.2,37.50%,100.00%
urgent care centers near 1800 broadway apt 603 san francisco ca 94109,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,7.75,7.75, --, --
urgent care clinics,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,6.24,6.24,100.00%,100.00%
urgent care shoreline el camino mountain view,Phrase match,None,Non-Brand - Urgent Care - MV - Phrase - Computers,Urgent Care,1,0,USD,0.44,0.44, --, --
urgent care north beach,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,19.19,19.19,0.00%,100.00%
urgent care near apple park,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,9.7,9.7,100.00%,100.00%
urgent care sharp rees stealy rancho bernardo,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,33.77,33.77,100.00%,100.00%
urgent care corporate office,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14,14,100.00%,100.00%
davies medical center urgent care,Phrase match,None,Non-Brand - Urgent Care - SF - Phrase - Computers,Urgent Care,1,0,USD,14.27,14.27,100.00%,100.00%
